ew,em,predicted_em,L_line
0.4300886245643067,1.2521044788339372e+54,2.11119587685223e+54,1.2682594905134132e+33
0.324692764062584,9.852907500122728e+53,4.8061945143596295e+53,9.567124839173998e+32
3.1221186807467665,2.911559633079757e+55,2.919437640283222e+55,9.269157817240775e+33
2.985767490544137,1.9929221768279028e+55,6.646178749015407e+54,8.856534268188499e+33
17.033154844355106,2.186704598149139e+56,4.03710343931248e+56,5.086657268168481e+34
0.4438621225621268,1.46485149864473e+54,3.408502963135093e+54,1.3088882387337992e+33
0.31560860904980703,1.11642494998225e+54,7.75954918404999e+53,9.299768294914332e+32
4.410103849608678,3.4704798100611107e+55,4.7134005691741806e+55,1.310865525300626e+34
3.6627826661031224,2.278345349534449e+55,1.0730183877263275e+55,1.0870891184610331e+34
21.55169345096283,2.359138661276771e+56,6.517859941966251e+56,6.443271649471568e+34
0.6409757815920586,9.538905601728832e+54,1.4343961682558004e+55,1.9043116096765526e+33
0.34658742239560447,6.236591528946431e+54,3.265441672597599e+54,1.0286262617472276e+33
5.244292631025845,2.9191338787541857e+56,1.983534645268311e+56,1.5718124816315027e+34
6.244527401473862,1.6524733418609967e+56,4.515570267854448e+55,1.867255753622842e+34
16.95471480789766,1.7548066671312992e+57,2.7429030947313915e+57,5.391403103673891e+34
0.05397442506858026,3.858137987654585e+53,2.666549478323247e+52,1.5410458953149477e+32
0.016139766926235852,4.0204729625566625e+53,1.0482115313675047e+53,4.266969818675132e+31
0.0720005865536393,4.5195957192638075e+53,3.6874005875293604e+53,2.0754479325683217e+32
0.0805348927330978,7.636072712517164e+53,1.4495046306247373e+54,2.3162332938689843e+32
4.935475858301569,2.6891646084681666e+55,8.804758870593729e+55,1.466631392424466e+34
0.3927107719968731,1.1000272176568949e+54,5.0990702416899285e+54,1.1595878068150118e+33
5.746211101530659,3.8950484704934487e+55,2.004427170784438e+55,1.7091136934162393e+34
9.647842349046131,1.1735128469868277e+57,1.2175537448829575e+57,2.9475987476386795e+34
0.042790933494666124,3.7390492160826192e+53,4.3051153603818065e+52,1.2129954069721044e+32
0.06425024749413966,3.972912838994364e+53,1.6923262070715895e+53,1.8632253090228045e+32
