Run_Number,Disk.mdot(msol/yr),Wind.mdot(msol/yr),KWD.d(in_units_of_rstar),KWD.mdot_r_exponent,KWD.acceleration_length(cm),KWD.acceleration_exponent,Intergated Flux,Mean,Median,Mode,Stdev,Skewness,Kurtosis,"Flat Spectrum (1=True, 0=False)"
0.0,3e-09,9e-11,0.55,0.0,725182000.0,0.5,-4.857903791126368,-655.6674363858411,-2.685226575025894,1379.594961259484,1580.2005682109727,-0.06287921872424604,,1
1.0,3e-09,9e-11,0.55,0.0,725182000.0,1.5,-4.829370372823744,-636.5468131997815,-2.2643557449775367,1379.594961259484,1591.9465520937993,-0.08487956539554124,,1
2.0,3e-09,9e-11,0.55,0.0,725182000.0,4.5,-4.769347805332612,-667.7087563551805,-1.4615415566692875,1379.594961259484,1538.9693328138471,-0.12536359302088568,,1
3.0,3e-09,9e-11,0.55,0.0,7251820000.0,0.5,-4.575471404616484,-698.1996112232237,-5.796491086217915,1379.594961259484,1585.9298674930335,-0.05850180978028404,,1
4.0,3e-09,9e-11,0.55,0.0,7251820000.0,1.5,-4.715946210150925,-651.3342254455221,-0.7895648855884096,1379.594961259484,1554.8453653658369,-0.07067436776294762,,1
5.0,3e-09,9e-11,0.55,0.0,7251820000.0,4.5,1.3829702791771017,4639.982138313,4.6996686871091375,390.1566360092785,,,,1
6.0,3e-09,9e-11,0.55,0.0,72518200000.0,0.5,-4.416422429858087,-693.1691170514946,-1.5879243164662193,1379.594961259484,1610.2542332156268,-0.012798673780671387,,1
7.0,3e-09,9e-11,0.55,0.0,72518200000.0,1.5,5.433803817931816,1427.761342431017,0.3122555230123887,344.4761962470361,,,,1
8.0,3e-09,9e-11,0.55,0.0,72518200000.0,4.5,193.66795230618965,79.90757929118635,10.181924215955288,138.00060852172203,530.6691700954276,0.9096433416330312,,0
9.0,3e-09,9e-11,0.55,0.25,725182000.0,0.5,-4.745364788437815,-647.1147482741828,-3.4383668304748944,1379.594961259484,1583.3641148958807,-0.0694089679715257,,1
10.0,3e-09,9e-11,0.55,0.25,725182000.0,1.5,-4.692494334679108,-590.8935046700609,-3.7073848000422105,1379.594961259484,1597.403739253333,-0.12442543434340127,,1
11.0,3e-09,9e-11,0.55,0.25,725182000.0,4.5,-4.568309707405333,-676.5421148760968,-1.7206092993776883,1379.594961259484,1518.8775127015342,-0.1431592279757302,,1
12.0,3e-09,9e-11,0.55,0.25,7251820000.0,0.5,-4.224074187525157,-709.2577533555607,-4.598037298609245,1379.594961259484,1588.0577543790916,-0.04052169115345122,,1
13.0,3e-09,9e-11,0.55,0.25,7251820000.0,1.5,-4.765745693346002,-699.0903120377918,-0.8145114602776147,1379.594961259484,1506.2190344976498,-0.15111757660313432,,1
14.0,3e-09,9e-11,0.55,0.25,7251820000.0,4.5,18.397107592516555,832.1068623278488,9.376519259500682,390.1566360092785,629.6112762559,-0.840775410193052,,0
15.0,3e-09,9e-11,0.55,0.25,72518200000.0,0.5,-4.058824491653317,-766.9029087020248,-4.969753077598021,1379.594961259484,1651.3866495395007,0.06048908448221522,,1
16.0,3e-09,9e-11,0.55,0.25,72518200000.0,1.5,23.817897625614723,546.958164509481,10.747967653304256,298.3389520872028,493.85450008506774,5.235894760148429,,0
17.0,3e-09,9e-11,0.55,0.25,72518200000.0,4.5,288.7337226022894,62.95341961385186,15.06660132336977,138.00060852172203,622.625407993821,-0.029132042087002274,,0
18.0,3e-09,9e-11,0.55,1.0,725182000.0,0.5,-4.46032381086581,-608.163539718479,1.2098486185035384,1379.594961259484,1560.4564580145206,-0.0565927915679994,,1
19.0,3e-09,9e-11,0.55,1.0,725182000.0,1.5,-5.104667736170159,-491.46563256874543,-3.403236989817125,1379.594961259484,1597.0199407927184,-0.11640222714089986,,1
20.0,3e-09,9e-11,0.55,1.0,725182000.0,4.5,-5.13646363115797,-544.5364043622656,-3.554313467490301,3448.462078091441,1391.7259017436056,-0.29615122278861844,,1
21.0,3e-09,9e-11,0.55,1.0,7251820000.0,0.5,-4.504031214255883,-625.4803023239921,-5.041936098801852,1379.594961259484,1595.6229062152856,-0.10275652826278542,,1
22.0,3e-09,9e-11,0.55,1.0,7251820000.0,1.5,-3.05107642756869,-1189.279712180134,-0.7608891429161264,1379.594961259484,1181.5075648069133,-0.7586423350885924,,1
23.0,3e-09,9e-11,0.55,1.0,7251820000.0,4.5,140.86136433954795,92.15299154337586,14.808338870628777,69.47994887835841,1139.2785936634984,-0.6373596831914299,,0
24.0,3e-09,9e-11,0.55,1.0,72518200000.0,0.5,-2.795019764065577,-1007.3887044970941,-2.0644668630006064,1379.594961259484,1645.7821749460022,0.1552080869087265,,1
25.0,3e-09,9e-11,0.55,1.0,72518200000.0,1.5,120.58073729317186,155.3001147102399,14.668262110214283,275.4987322060816,1146.5838816522512,-0.7163544144463436,,0
26.0,3e-09,9e-11,0.55,1.0,72518200000.0,4.5,512.6098185537144,25.79917340735508,16.361499204711528,138.00060852172203,745.2403081230857,-0.44906957652293095,,0
27.0,3e-09,9e-11,5.5,0.0,725182000.0,0.5,-4.767009665280542,-678.8400639602805,-5.2952924889154875,1379.594961259484,1572.5430146510532,-0.08117426638266993,,1
28.0,3e-09,9e-11,5.5,0.0,725182000.0,1.5,-4.658846735431974,-694.7145260039069,2.4221138429007887,1379.594961259484,1558.4910286324148,-0.03338641983578462,,1
29.0,3e-09,9e-11,5.5,0.0,725182000.0,4.5,-3.6565723622134376,-849.0042825159721,-1.9630300724622218,1379.594961259484,1619.0865437786767,0.13664411960039027,,1
